,Headline,Body ID,Stance
120,Kim Jong-un relying on ‘cobra wine’ after problems with trouser snake,213,0
121,Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,922,1
122,Former U.S. soldier says IS used chemical weapons in Kobani,1758,0
123,North Korean dictator Kim Jong-Un to open restaurant in Scotland,2132,0
124,Eyewitness Says Viral Video of Homeless Man Was Staged,1681,0
125,New Audio Shows Michael Brown Was Shot at 11 Times,900,0
126,Meteorite strike in Nicaragua puzzles experts,40,0
127,Hunt for 'cruel' owner who abandoned dog at train station,36,0
128,Met police denies reports of Banksy arrest,949,1
129,Video: Marine saved by helmet after Taliban sniper attack,488,1
130,Militant Group Says It Killed American Journalist in Syria,2495,1
131,"Rare Case: Seven Bosnian Girls, Aged 13 And 14, Fall Pregnant After Five-Day School Trip; Parents Outraged After School Cites 'Parental Neglect'",821,0
132,"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",1628,0
133,What TBS’s Sped-Up Seinfeld Reruns Tell Us About the Sorry State of America,2237,0
134,Islamic State claims to have beheaded American journalist,1385,0
135,Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1125,0
136,US probing claims ISIS fighters seized airdropped weapons meant for Kurds,2448,0
137,Meteorite 'caused mysterious boom in Nicaragua',345,0
138,"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",2087,0
139,Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,2463,1
140,ISIS cracks down on five confirmed Ebola cases among fighters: official,2045,0
141,Nasa questions whether crater in Nicaragua caused by meteorite,1661,1
142,Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1899,0
143,Court Orders Probe Into Complaints Of 'Forced Castration' In Religious 'Dera' Sect,1048,0
144,Saudi Arabian cleric issues fatwa against snowmen,35,0
145,Actor has his testicles stolen after meeting ‘young blonde woman at a bar’,573,1
146,Michael Phelps’ alleged girlfriend says she was born intersex,618,0
147,Report: Possible audio tape of Michael Brown shooting,321,0
148,Amazon plans ad-supported video streaming service - NY post,887,0
149,CBI registers 'criminal conspiracy' case against Dera chief after claims 400 male followers were forcibly castrated,2336,1
150,Shots Heard In Alleged Brown Shooting Recording [AUDIO],1818,1
151,Armed U.S. drones spotted flying over Syria in possible hunt for ISIS leader,1509,1
152,"Oh Hey, Paul Rudd Was One Of The Dallas Airport Homophobe Heroes, No Big",119,0
153,Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,2045,0
154,ISIS Video: America’s Air Dropped Weapons Now in Our Hands,2168,1
155,Vice CEO Throws Down $300K on Lavish Vegas Dinner,1547,0
156,What Glenn Beck Fears May Be Done With the 11 Missing Jets,176,0
157,Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,855,1
158,'Hairgate': iPhone 6 users encounter latest Apple problem after 'bendgate',689,0
159,"Once Again, The Banksy 'Arrest' Is A Giant Hoax. Repeat: A Hoax.",2342,0
160,Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,2132,0
161,Amazon.com to open first physical store in Manhattan: DJ,2477,0
162,Lynch Mob Castrates Alleged Rapist In Rajasthan,2149,0
163,Vogue’s Rat Infestation: Disturbing New Details,2064,1
164,"Feminist Aborts Baby For Being A Boy, Shocked People Don’t Approve",1363,0
165,Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,115,0
166,ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government,313,0
167,Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,472,0
168,Video: Marine survives Taliban sniper headshot thanks to helmet,2046,1
169,New iOS 8 bug can delete all of your iCloud documents,139,0
170,"Wildest Apple Watch rumor yet: 100,000 apps at launch",986,0
171,Sergeant-at-Arms stopped shooter on Parliament Hill,1568,0
172,Weather Reporter Caught Writing His Name In The Snow Was NOT Ready To Go On Camera (UPDATED),975,0
173,Cheese addiction breaks Kim Jong-un's ankles,2210,0
174,PopWatch Teenager fights for the right to be recognized as Teletubbies' smiling sun-baby,2081,0
175,ISIS cracks down on five confirmed Ebola cases among fighters: official,1438,0
176,Media outlets identify 'Jihadi John',2531,0
177,J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,808,0
178,iPhone Game Developer Quits Job By Hiding The Greatest Letter Of Resignation Ever Inside His Game,125,0
179,Lego letter to parents in 1974 on gender equality still resonates 40 years on,1547,1
180,"FIDEL CASTRO DEATH WATCH: RUMORS HEAT UP, CUBA DENIES",1401,1
181,Christian Bale Won't Play Steve Jobs After All,687,0
182,"Suspected meteorite leaves crater in Managua, is linked to asteroid",1627,0
183,KIM DINE WITH ME: Porky president Kim Jong-un to open UK restaurant serving DOG,2290,0
184,Canadian Soldier Shot At Ottawa War Memorial: Report,2307,0
185,'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',320,0
186,Mexico prosecutor: Students not in 1st mass graves,1948,0
187,Audio recording allegedly captures moment Michael Brown was shot,1720,0
188,"In Moscow, police are looking for a felon, cut the male genitals",271,0
189,Lego letter from the 1970s still offers a powerful message to parents 40 years later,1169,0
190,Isis leader Abu Bakr al-Baghdadi's 'wife and son detained in Lebanon',254,0
191,WHO investigates media reports ISIS fighters contracted Ebola,1574,0
192,Rumor Robert Plant Ripped Up $800 Million Contract To Reunite Led Zeppelin Called 'Rubbish',2133,0
193,Michelle Obama’s face blurred by Saudi state television,1242,0
194,More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,2530,1
195,Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,1982,0
196,Islamic State killer 'Jihadi John' named as Mohammed Emwazi,1107,0
197,Brian Williams Demands Apology From Social Media Over Erroneous Urination Reports (Video),775,0
198,Pentagon: ISIS seized materials airdropped to Kurds,1627,0
199,New policy could reduce marijuana possession arrests,296,0
200,Did NBC Nightly News Go Live To A Man Who Was Taking A Piss?,1786,0
201,ESPN's Domestic Violence Panel Is Missing Something Important,1020,0
202,Boko Haram denies it has agreed ceasefire,381,0
203,Islamic State claims to have beheaded American journalist,2047,1
204,Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,2302,0
205,Audio recording of Michael Brown being gunned down WAS made at the time he was killed: App company appears to confirm tape of ELEVEN bullets being fired - including final volley of 'kill shots',844,0
206,Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1471,1
207,Kurds Deny Gill Rosenberg was in Kobane,1949,0
208,Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,214,0
209,"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",2061,1
210,"Cook said to confirm Apple Watch is showerproof, lasts a day",1985,0
211,Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,1476,1
212,Russian Yeti Or Bigfoot Hoax? New Footage Sparks Debate,1718,0
213,Tropical spider burrowed under Bali tourist's skin,2293,1
214,Alleged audio of Michael Brown shooting has surfaced,1104,0
215,High school student scores $72M playing the stock market,1987,1
216,Mexico Says Missing Students Not Found In First Mass Graves,1419,0
217,Boko Haram denies ceasefire claim by Nigeria's government,1603,0
218,British hostage David Haines beheaded by Islamic State terrorists,2206,1
219,Alleged Ottawa gunman: What we know so far about Michael Zehaf-Bibeau,1301,0
220,"See How This Homeless Man Spends A Hundred Dollars, And Keep A Tissue Handy [Video]",467,0
221,"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",2045,0
222,Ottawa Shooting: Soldier Shot at Canada's National War Memorial,2269,0
223,"Woman, Ting Su, Finds Husband Cheating With Her Own Twin, Gets Spectacular Revenge",1058,1
224,"North Korean leader Kim Jong-un not missing, just having ankle surgery",1081,1
225,Seth Rogen reportedly nabs Steve Wozniak role in Steve Jobs filmSteve Jobs Iconic Moments,1355,0
226,Police hunt tweed-jacket wearing man who slaps shoppers for SNEEZING,678,0
227,Meteorite Leaves House-Sized Crater in Nicaragua’s Capital,971,0
228,Does Vogue's New Office Have a Rat Infestation?,639,0
229,Meteorite leaves crater in Nicaraguan capital Managua,1795,0
230,James Foley remembered as 'brave and tireless' journalist,874,0
231,Homeless man receives $100... then shocks everyone with how he spends it,2492,0
232,Reports: Big Bank Hank of pioneering rap group Sugarhill Gang has died,2398,1
233,Islamic State using 'SCORPION bombs' to terrorise victims,1720,0
234,Kim Jong-un ‘is so fat from eating cheese that he has broken his ankles’,2327,0
235,First bendgate... now it's HAIRGATE: Angry iPhone 6 owners claim design is causing chunks of their hair to be ripped out when they make a phone call,403,0
236,"Vice Media Chief Said to Pay $300,000 for Dinner for 30",2130,1
237,ISIS Getting Ebola,720,0
238,Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,1602,1
239,Apple Watch may be powered by Samsung processor,1658,0
240,"No, Saudi TV Did Not Blur Out Images of Michelle Obama",1786,0
241,"North Korean leader Kim Jong-un’s mystery illness actually two broken ankles, newspaper says",1081,1
242,Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,908,0
243,"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",666,1
244,Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,734,0
245,Video messaging service verifies timing of CNN audio recording,1299,0
246,"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",1093,1
247,More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,1603,0
248,"Despite ceasefire announcement, new Boko Haram attacks reported",1541,0
249,Apple in talks to become launch partner for cable-free HBO Now service,2306,0
250,Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1372,0
251,Passenger Wears A Hazmat Suit To Dulles Airport,2489,0
252,Eggnog-chugging contest leads to hospital stay,2509,0
253,Woman Spends Entire Week In KFC After Getting Dumped By Her Boyfriend,1805,0
254,Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,972,0
255,Obama: murder of James Foley 'shocks the conscience of the entire world',2127,0
256,Has Ebola infected Isis militants in Mosul?,1778,1
257,Watch: ISIS Claims to Have Captured U.S. Airdropped Weapons,1586,0
258,#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1580,1
259,Christian Bale won't play Steve Jobs,2455,1
260,"Thanks Uncle Sam, we have your weapons airdrop: ISIS taunts America over intercepted weapons meant for Kurds",125,0
261,Video Purports To Show Beheading Of U.S. Journalist By Militants,2453,0
262,6 Islamist militants killed in US attack in Somalia,511,0
263,This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1726,0
264,Officials Refute Iraqi Media Reports That ISIS Members Have Contracted Ebola In Mosul,2177,0
265,"Islamic State Training Pilots in Military Jets, Monitors Say",1115,1
266,Could Kim Jong Un open a restaurant in Scotland?,773,0
267,Cheeky vandals paint giant penis on bonnet of £1.5 million Bugatti Veyron sportscar,2252,0
268,Nasa questions whether crater in Nicaragua caused by meteorite,524,0
269,Expert casts doubt on Bunbury man Dylan Thomas’s burrowing stomach-spider story,1864,1
270,Soldier shot in Ottawa at War Memorial,1988,0
271,Macaulay Culkin dead: Actor is victim of another death hoax,2022,0
272,BATMAN VS. SUPERMAN BATMOBILE STOLEN,1528,1
273,Did Comcast Get a Man Fired From His Job for Complaining About Its Service?,1338,0
274,Video shows ISIL beheading of photojournalist James Foley,694,1
275,Isis claims it has US airdrop of weapons,1648,0
276,That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,1125,0
277,"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",2156,0
278,Comcast blocks Tor,1403,0
279,Elderly Woman Arrested for Kidnapping Neighbor’s Cats & Making Fur Coats,1034,0
280,"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",139,0
281,Staff Reporter,707,1
282,Lebanon detains wife and son of Al-Baghdadi,2337,0
283,"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",2025,1
284,"Kim Jong-un Broke Both Ankles and Is Hospitalized, Report Claims",1854,1
285,New iOS 8 bug can delete all of your iCloud documents,2054,1
286,"TEXAS TURKEY FARM CONTAMINATED WITH EBOLA, OVER 250,000 HOLIDAY TURKEYS INFECTED",186,0
287,The Apple Watch Will Debut by Late March [Report],670,0
288,Robot security guards now patrolling Microsoft's Silicon Valley campus,2288,0
289,Dylan Thomas Finds Tropical Spider Burrowed Under Skin,2175,0
290,"Rats at Vogue's NYC offices - watch your step, Anna Wintour",2033,0
291,Boko Haram denies it has agreed ceasefire,2403,1
292,A Wanted Man Responded To A Police Facebook Post That He Would Turn Himself In,1693,0
293,Video Purports To Show Beheading Of U.S. Journalist By Militants,1471,1
294,Aaron Sorkin Confirms Christian Bale Will Play Steve Jobs,2097,0
295,"ISIS Unleash ""Scorpion"" Bombs In Iraq",185,0
296,Spider Burrows Into Australian Man's Appendix Scar (VIDEO),1321,0
297,Michael Phelps’ alleged girlfriend says she was born intersex,645,0
298,ISIL Beheads American Photojournalist in Iraq,139,0
299,"Kim Yo Jong, Kim Jong-Un’s Sister, Takes Control of North Korea While Brother Gets Treatment?",465,0
300,"Despite no Ebola case in Kansas City, the rumor goes viral",1943,1
301,Don’t ‘Reset All Settings’ in iOS 8 unless you want to lose your iCloud files,1155,0
302,Soldier shot in Ottawa at War Memorial,2269,0
303,"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",731,0
304,The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,698,0
305,"Canadian woman 'captured by ISIS in Syria' says she is actually fine and still fighting the jihadists, despite kidnap reports",513,0
306,More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,1883,0
307,This Woman Is Wrongly Being Called A Sexual Predator After Her Private Sex Tape Was Used For A Hoax,1734,0
308,Jihadi John UNMASKED: Islamic State killer NAMED as west Londoner Mohammed Emwazi,1780,1
309,Pumpkin Spice Condoms Could Be The Only Thing To Save The World From Basic Children,1400,1
310,"North Korean leader Kim Jong Un had ankle surgery, report says",1349,0
311,Bunbury local discovered a spider had burrowed under his skin on Bali holiday,859,0
312,"No, Banksy has not been arrested (sigh)",1020,0
313,DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,1004,1
314,CNN Airs Alleged Audio from Michael Brown Shooting,1605,1
315,Guru who ordered 400 followers to be castrated 'so they could be closer to God' is investigated for grievous bodily harm in India,1011,0
316,Guantanamo detainee freed in Bowe Bergdahl swap 'back to terrorism',472,0
317,"UBS survey finds 10% of consumers want a smartwatch, expects 24M Apple Watch sales in fiscal 2015",568,0
318,Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,36,0
319,Bugatti Veyron Vandalized With Penis Graffiti? Viral Photo Isn’t What It Seems,1148,1
320,Has Kim's SISTER taken over North Korea? Dictator fails to show for key Communist event (but does send a nice flower basket instead),81,0
321,North Korea Leader Kim Jong Un Is Still In Charge: Source,1580,0
322,Former PGA Tour player: Tiger Woods suspended for drug test failure,43,0
323,NET Extra: Back-from-the-dead Catholic priest claims God is a female...,2492,0
324,Isis 'fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him',2352,0
325,Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,1489,0
326,Alleged audio of Michael Brown shooting released,776,0
327,Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,831,0
328,Man who skipped work for 24 years is finally fired,1951,1
329,Big Bank Hank of The Sugarhill Gang is dead at 57,1458,0
330,Isis claims to behead US journalist,1347,0
331,Michael Phelps’ alleged girlfriend says she was born intersex,1349,1
332,Nigerians doubtful of girls' release after Boko Haram 'truce' breached,1821,1
333,"Islamic State, in video titled ""A Message to America,"" beheads American journalist James Wright Foley who was kidnapped in 2012",826,0
334,"Viral Video Of Homeless Man Spending $100 On Food For Other Homeless Was Faked, Witness Says",344,0
335,Kim Jong-Un 'bans the name Kim Jong-un',1034,0
336,Scientists Doubt That Meteor Caused Crater In Nicaragua,2475,1
337,Fence Jumper Made It Deeper Into the White House Than Secret Service Claims,887,0
338,Boko Haram denies truce to release kidnapped schoolgirls,171,0
339,Journalist James Wright Foley reportedly beheaded by ISIS,984,0
340,Saudi cleric condemns snowmen as anti-Islamic,1950,0
341,Islamic State May Have Fighter Jets Now After Seizing Russian-Made MiGs,487,0
342,"Absent from duty for 25 years, CPWD official dismissed",1242,0
343,Did a Meteorite Impact in Nicaragua over the Weekend?,373,0
344,Meteorite strike in Nicaragua puzzles experts,715,1
345,Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,2287,0
346,Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,964,0
347,Small red book among finds in 113-year-old Boston time capsule,690,0
348,Kurds fear Isis use of chemical weapon in Kobani,1253,0
349,New Audio Shows Michael Brown Was Shot at 11 Times,1569,0
350,DHS Rebuffs Congressman’s Claim ISIS Infiltrating Southern Border,2367,0
351,Luke Somers 'killed in failed rescue attempt in Yemen',298,0
352,Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,1737,0
353,"No, there aren’t any Ebola cases in Iraq",2003,1
354,URGENT: ISIS kills 300 Iraqi soldiers by chlorine gas attack in Saqlawiyah,969,1
355,This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,311,0
356,Ferguson riots: audio may have captured Michael Brown shooting,1803,0
357,"ISIS Claims an American Hostage, Kayla Mueller, Died in Airstrike in Syria",2260,0
358,Did Paul Rudd Help Tackle That Dallas Airport Gay-Basher?,1844,0
359,WAS NBC METEOROLOGIST MIKE SEIDEL PEEING IN THE SNOW ON CAMERA? A TESTY BRIAN WILLIAMS EXPLAINS,1968,1
360,Canadian Soldier Shot At Ottawa War Memorial: Report,373,0
361,ISIS Extremists Claim to Behead British Hostage David Haines,1528,0
362,"Boko Haram agrees to ceasefire, release of school girls",2356,1
363,Led Zeppelin’s Robert Plant ripped up a $924 million reunion contract,2223,0
364,"‘Teletubbies’ Sun Baby: Fans Freak Out Over Jess Smith, 19",1009,0
365,"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",1439,0
366,"Boko Haram denies cease-fire, leader says he married off kidnapped girls",2096,0
367,"North Korea leader Kim is still in charge, has injured leg: source",1933,0
